食物名稱,種類,能量,蛋白質,碳水化合物,脂肪,膳食纖維,糖,鈉
瑪瑙石榴,4,72,1.6,18.4,0.2,4.7,0,0.7
甜瓜[香瓜],4,27,0.4,6.2,0.1,0.4,0,8.8
番石榴[雞矢果，番桃],4,53,1.1,14.2,0.4,5.9,0,3.3
白粉桃,4,26,1.3,5.5,0.1,0.9,0,0
白蘭瓜,4,23,0.6,5.3,0.1,0.8,0,0
白金瓜,4,25,0.4,6.2,0,0.5,0,1.6
石榴(均值),4,73,1.4,18.7,0.2,4.8,0,0.9
磨盤柿,4,79,0.7,19.6,0.1,1.5,0,4.7
祝光蘋果,4,50,0.4,12.5,0.1,1.5,0,1.7
福桔,4,46,1,10.3,0.2,0.4,0,0.5
紅元帥蘋果,4,60,0.2,14.3,0.4,0.6,0,0.7
紅富士蘋果,4,49,0.7,11.7,0.4,2.1,0,0.7
紅星蘋果,4,58,0.4,14.3,0.1,0.8,0,2.3
紅果(乾),4,251,4.3,78.4,2.2,49.7,0,9.9
紅果[山裏紅，大山楂],4,102,0.5,25.1,0.6,3.1,0,5.4
紅玉蘋果,4,52,0.2,14.7,0.2,4.7,0,0
紅玫瑰葡萄,4,42,0.4,10.7,0.2,2.2,0,1.5
紅粉皮石榴,4,74,1.3,19.4,0.1,4.9,0,0.8
紅肖梨,4,36,0.2,10.5,0,3.2,0,3.4
紅香蕉蘋果,4,51,0.4,12.3,0.2,0.9,0,2
紫葡萄,4,45,0.7,10.3,0.3,1,0,1.8
紫酥梨,4,51,0.3,13.3,0.1,2,0,1.7
芒果[抹猛果，望果],4,35,0.6,8.3,0.2,1.3,0,2.8
芭蕉[甘蕉，板蕉，牙蕉],4,115,1.2,28.9,0.1,3.1,0,1.3
草莓[洋莓，鳳陽草莓],4,32,1,7.1,0.2,1.1,0,4.2
荔枝,4,71,0.9,16.6,0.2,0.5,0,1.7
荷柿,4,65,0.6,17.1,0.2,3.8,0,1.1
菠蘿[鳳梨，地鳳梨],4,44,0.5,10.8,0.1,1.3,0,0.8
菠蘿蜜[木菠蘿],4,105,0.2,25.7,0.3,0.8,0,11.4
萊陽梨,4,54,0.3,14.1,0.2,2.6,0,1.8
葡萄(均值),4,44,0.5,10.3,0.2,0.4,0,1.3
葡萄乾,4,344,2.5,83.4,0.4,1.6,0,19.1
蒲桃,4,39,0.5,10.2,0.2,2.8,0,1
蘆柑,4,44,0.6,10.3,0.2,0.6,0,0
蘇木梨,4,53,0.6,13.1,0.3,2.5,0,0
蘇梅梨,4,77,1.2,20.5,0.2,5.7,0,0.9
蘋果(均值),4,54,0.2,13.5,0.2,1.2,0,1.6
蘋果(罐頭),4,41,0.2,10.3,0.2,1.3,0,6.2
蘋果梨,4,53,0.2,13.9,0.1,2.3,0,2.4
蘋果脯,4,340,0.6,84.9,0.1,1.6,0,12.8
蜜桃,4,43,0.9,9.8,0.2,0.8,0,2.9
蜜桔,4,45,0.8,10.3,0.4,1.4,0,1.3
蜜棗,4,333,1.3,84.4,0.2,5.8,0,25.1
蜜棗(無核),4,327,1,81.9,0.1,3,0,15.8
西瓜(均值),4,26,0.6,5.8,0.1,0.3,0,3.2
西瓜脯,4,311,0.7,77.5,0.2,2,0,529.3
軟梨,4,32,0.4,11.7,0.2,9.1,0,1
酒棗,4,148,1.6,35.7,0.2,1.4,0,0.8
酥梨,4,45,0.3,11.4,0.1,1.2,0,2.3
酸刺,4,112,2.8,25.5,0.3,2.2,0,8.3
酸梨,4,33,0.1,9.8,0.1,3.7,0,8.5
酸棗,4,300,3.5,73.3,1.5,10.6,0,3.8
醋栗[燈籠果],4,46,0.9,10.2,0.6,1.9,0,1
金元帥蘋果,4,53,0.2,13.3,0.1,1.1,0,1.7
金塔寺瓜,4,10,0.6,2,0.1,0.7,0,0
金桔[金棗],4,58,1,13.7,0.2,1.4,0,3
金紅桃,4,28,0.7,6.6,0.1,1,0,0
金絲小棗,4,308,1.2,76.7,1.1,7,0,7.4
錦豐梨,4,51,0.2,13.9,0.1,3.2,0,0
長把梨,4,62,0.8,14.9,0.8,4,0,3.2
雪梨,4,79,0.9,20.2,0.1,3,0,1.4
雪花梨,4,43,0.2,10.6,0.1,0.8,0,0.6
靈蜜瓜,4,4,0.5,0.4,0.1,0.4,0,5.2
青梅果脯,4,314,1.2,77.4,0.6,2.9,0,222.8
青皮石榴,4,71,1.2,18.5,0.2,4.9,0,1.3
